i,time (s),dt
910,8.587284803,0.008326
911,8.595623732,0.008339
912,8.603959799,0.008336
913,8.612299442,0.00834
914,8.620627642,0.008328
915,8.628960609,0.008333
916,8.637291431,0.008331
917,8.645622253,0.008331
918,8.653954268,0.008332
919,8.662288666,0.008334
920,8.67062068,0.008332
921,8.678951263,0.008331
922,8.687283516,0.008332
923,8.695617199,0.008334
924,8.70395112,0.008334
925,8.712302446,0.008351
926,8.720622301,0.00832
927,8.7289505,0.008328
928,8.737282991,0.008332
929,8.745620728,0.008338
930,8.753955603,0.008335
931,8.762287378,0.008332
932,8.770620346,0.008333
933,8.778951168,0.008331
934,8.787283659,0.008332
935,8.795616627,0.008333
936,8.803948879,0.008332
937,8.812298536,0.00835
938,8.820623159,0.008325
939,8.828950644,0.008327
940,8.837284327,0.008334
941,8.845621824,0.008337
942,8.853956699,0.008335
943,8.862287045,0.00833
944,8.870643139,0.008356
945,8.87895751,0.008314
946,8.887286901,0.008329
947,8.895649433,0.008363
948,8.903952122,0.008303
949,8.912301064,0.008349
950,8.920624971,0.008324
951,8.92895031,0.008325
952,8.937286139,0.008336
953,8.94562149,0.008335
954,8.953954458,0.008333
955,8.962289333,0.008335
956,8.970620871,0.008332
957,8.978958368,0.008337
958,8.987287045,0.008329
959,8.995616198,0.008329
960,9.003950834,0.008335
961,9.012298346,0.008348
962,9.020632982,0.008335
963,9.028951168,0.008318
964,9.037303686,0.008353
965,9.04562211,0.008318
966,9.053963423,0.008341
967,9.062290192,0.008327
968,9.070628166,0.008338
969,9.078957796,0.00833
970,9.087299347,0.008342
971,9.095624447,0.008325
972,9.103966475,0.008342
973,9.112301111,0.008335
974,9.120638847,0.008338
975,9.128962994,0.008324
976,9.137304783,0.008342
977,9.145630121,0.008325
978,9.153954268,0.008324
979,9.162288427,0.008334
980,9.170619965,0.008332
981,9.178950787,0.008331
982,9.187283278,0.008332
983,9.195616007,0.008333
984,9.203948975,0.008333
985,9.21230197,0.008353
986,9.220623255,0.008321
987,9.228950024,0.008327
988,9.237283945,0.008334
989,9.245620489,0.008337
990,9.253954411,0.008334
991,9.262288094,0.008334
992,9.270636082,0.008348
993,9.278966904,0.008331
994,9.287299633,0.008333
995,9.29563117,0.008332
996,9.303964615,0.008333
997,9.312310219,0.008346
998,9.320644617,0.008334
999,9.328967571,0.008323
1000,9.337301493,0.008334
1001,9.345636368,0.008335
1002,9.353970528,0.008334
1003,9.362304449,0.008334
1004,9.370649576,0.008345
1005,9.378977776,0.008328
1006,9.387310266,0.008332
1007,9.395641565,0.008331
1008,9.403976202,0.008335
1009,9.412318945,0.008343
1010,9.420655727,0.008337
1011,9.429034948,0.008379
1012,9.437334538,0.0083
1013,9.445663214,0.008329
1014,9.453998089,0.008335
1015,9.46234417,0.008346
1016,9.470648289,0.008304
1017,9.478987694,0.008339
1018,9.487313032,0.008325
1019,9.495636702,0.008324
1020,9.503967285,0.008331
1021,9.512310505,0.008343
1022,9.520645142,0.008335
1023,9.528976679,0.008332
1024,9.537312984,0.008336
1025,9.545637131,0.008324
1026,9.553980827,0.008344
1027,9.562310934,0.00833
1028,9.570623875,0.008313
1029,9.578965902,0.008342
1030,9.587295294,0.008329
1031,9.595633984,0.008339
1032,9.603958607,0.008325
1033,9.612298965,0.00834
1034,9.620627165,0.008328
1035,9.628959179,0.008332
1036,9.637289524,0.00833
1037,9.645620823,0.008331
1038,9.653955221,0.008334
1039,9.662288666,0.008333
1040,9.670621634,0.008333
1041,9.678953648,0.008332
1042,9.687284231,0.008331
1043,9.695615292,0.008331
1044,9.703952074,0.008337
1045,9.712305784,0.008354
1046,9.720622063,0.008316
1047,9.728951931,0.00833
1048,9.737307072,0.008355
1049,9.745622396,0.008315
1050,9.753955603,0.008333
1051,9.762290001,0.008334
1052,9.770620823,0.008331
1053,9.778949976,0.008329
1054,9.787283897,0.008334
1055,9.795618534,0.008335
1056,9.803950787,0.008332
1057,9.812301874,0.008351
1058,9.820623159,0.008321
1059,9.828952312,0.008329
1060,9.83728385,0.008332
1061,9.845619917,0.008336
1062,9.853954792,0.008335
1063,9.862289906,0.008335
1064,9.870620489,0.008331
1065,9.878952503,0.008332
1066,9.887284994,0.008332
1067,9.895618677,0.008334
1068,9.903949022,0.00833
1069,9.912300825,0.008352
