82289:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 95 @ sec=1.795617104, dt=0.008330
82290:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 96 @ sec=1.803950787, dt=0.008334
82291:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 97 @ sec=1.812305689, dt=0.008355
82297:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 98 @ sec=1.820622206, dt=0.008317
82298:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 99 @ sec=1.828953028, dt=0.008331
82299:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 100 @ sec=1.837285519, dt=0.008332
82300:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 101 @ sec=1.845621586, dt=0.008336
82301:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 102 @ sec=1.853954792, dt=0.008333
82302:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 103 @ sec=1.862288713, dt=0.008334
82303:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 104 @ sec=1.870620012, dt=0.008331
82304:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 105 @ sec=1.878951788, dt=0.008332
82305:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 106 @ sec=1.887285709, dt=0.008334
82306:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 107 @ sec=1.895617485, dt=0.008332
82307:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 108 @ sec=1.903950453, dt=0.008333
82308:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 109 @ sec=1.912302971, dt=0.008353
82314:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 110 @ sec=1.920622349, dt=0.008319
82315:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 111 @ sec=1.928955317, dt=0.008333
82316:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 112 @ sec=1.937286615, dt=0.008331
82317:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 113 @ sec=1.945621729, dt=0.008335
82318:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 114 @ sec=1.953955650, dt=0.008334
82319:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 115 @ sec=1.962288857, dt=0.008333
82320:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 116 @ sec=1.970620871, dt=0.008332
82321:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 117 @ sec=1.978952646, dt=0.008332
82322:Aug  8 21:45:36 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 118 @ sec=1.987287760, dt=0.008335
82323:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 119 @ sec=1.995617867, dt=0.008330
82324:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 120 @ sec=2.003952503, dt=0.008335
82325:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 121 @ sec=2.012304544, dt=0.008352
82337:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 122 @ sec=2.020629883, dt=0.008325
82338:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 123 @ sec=2.028955936, dt=0.008326
82346:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 124 @ sec=2.037304163, dt=0.008348
82347:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 125 @ sec=2.045621395, dt=0.008317
82355:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 126 @ sec=2.053972244, dt=0.008351
82356:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 127 @ sec=2.062289476, dt=0.008317
82364:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 128 @ sec=2.070631266, dt=0.008342
82365:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 129 @ sec=2.078956842, dt=0.008326
82373:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 130 @ sec=2.087300301, dt=0.008343
82374:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 131 @ sec=2.095627546, dt=0.008327
82401:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 132 @ sec=2.103967428, dt=0.008340
82402:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 133 @ sec=2.112299681, dt=0.008332
82409:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 134 @ sec=2.120628595, dt=0.008329
82410:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 135 @ sec=2.128956079, dt=0.008327
82411:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 136 @ sec=2.137291431, dt=0.008335
82412:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 137 @ sec=2.145621061, dt=0.008330
82413:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 138 @ sec=2.153956652, dt=0.008336
82414:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 139 @ sec=2.162288666, dt=0.008332
82415:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 140 @ sec=2.170618773, dt=0.008330
82416:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 141 @ sec=2.178951025, dt=0.008332
